丈	муж; чжан (мера длины ≈ 3,3 м)
丘	холм, курган, насыпь
丫	развилка; девочка-служанка (в 丫头)
丰	обильный, богатый; пышный
丹	киноварь, красный; пилюля
丽	красивый, прекрасный; изящный
乒	пин (в 乒乓球 — настольный теннис)
乓	понг (в 乒乓球 — настольный теннис)
乳	грудь; молоко; кормить грудью
亭	беседка, павильон; киоск
仆	слуга, прислужник; падать ниц
介	посредничать, представлять; панцирь; между
仔	zǐ=тщательный, внимательный|zǎi=детёныш; парень (в 牛仔)
仲	средний (из братьев); посредник
企	замышлять, намереваться; предприятие (в 企业)
伍	пятёрка, отряд; ряды, шеренга
伦	этические устои, порядок отношений; ровня
伺	cì=прислуживать, ухаживать|sì=выжидать, подстерегать
佑	покровительствовать, оберегать
佳	прекрасный, отличный; наилучший
侄	племянник
侈	расточительный, роскошный
侍	прислуживать, ухаживать; слуга
侠	благородный удалец, рыцарь
侣	спутник, товарищ, партнёр
侥	по счастливой случайности (в 侥幸)
侦	вести разведку, расследовать; сыщик
侨	эмигрант, живущий за границей
侮	оскорблять, унижать
俘	брать в плен; пленный
俯	наклоняться, смотреть вниз
俱	все, вместе, целиком
倘	если, в случае если
倡	призывать, ратовать; инициатива
倦	уставший, утомлённый; наскучить
倾	наклонять, опрокидывать; склоняться к
偶	случайно, изредка; пара; кукла, идол
傅	наставник, учитель; мастер (в 师傅)
傍	возле, рядом; примыкать; под вечер (在 傍晚)
储	запасать, хранить; сбережения
僚	чиновник; сослуживец
僧	буддийский монах
僻	глухой, уединённый; чудаковатый
兀	возвышаться; внезапно (в 突兀)
允	разрешать, позволять; справедливый
兆	предзнаменование; триллион, мега-
兔	заяц, кролик
兢	осмотрительный, старательный
兽	зверь, животное; звериный
冗	лишний, избыточный; растянутый
凄	холодный, унылый; горестный
凋	увядать, осыпаться
凯	победный, триумфальный
凳	табурет, скамейка
刁	хитрый, каверзный, вредный
刹	shā=тормозить (в 刹车)|chà=мгновение; храм
剔	выковыривать, счищать; придирчивый
剖	вскрывать, рассекать; анализировать
励	поощрять, воодушевлять
勉	стараться, поощрять; через силу
勋	заслуга, подвиг; орден
勘	обследовать, разведывать; сверять
匙	ложка; ключ (в 钥匙)
匪	бандит, разбойник; не, вовсе не
匿	прятать, скрывать; анонимный
卉	травы, растения; цветы
协	согласовывать, содействовать; совместный
卤	соляной раствор, рассол; тушить в соусе
卫	охранять, защищать; стража; гигиена
危	опасный; опасность; высокий
厄	беда, злоключение; теснина
历	история; проходить через; календарь
厉	строгий, суровый; резкий; точить
厕	уборная, туалет
厘	сотая доля; ли (мера); сантиметр (в 厘米)
厢	боковая комната, флигель; вагон
厦	большое здание, высотка
厨	кухня; повар
叔	дядя (младший брат отца)
叙	излагать, рассказывать; беседовать
叛	изменять, восставать; мятеж
叨	болтать, ворчать
叭	звукоподражание; рупор (в 喇叭)
史	история, летопись
叶	лист; страница
司	ведать, управлять; управление, департамент
吏	чиновник, служащий
君	государь, правитель; господин
吝	скупой, скаредный
吟	декламировать нараспев; стонать
吩	наказывать, велеть (в 吩咐)
吭	горло, глотка; издать звук
呜	звук плача, всхлипывание; гудок
呻	стонать, охать
咕	бурчать, бормотать
咖	в транскрипциях (кофе — 咖啡)
咙	горло, гортань
咨	советоваться, запрашивать; консультация
哀	скорбь, печаль; горевать; умолять
哆	дрожать, трястись
哗	шум, гам; шуметь
哲	мудрый; философ, мыслитель
哺	кормить, вскармливать
唆	подстрекать, подбивать
唇	губы
唐	династия Тан; пустой, вздорный
唠	болтать, судачить
唬	пугать, брать на испуг
唾	плевать; слюна; отвергать с презрением
啡	в транскрипциях (кофе — 咖啡)
啤	пиво (в 啤酒)
啬	скупой, прижимистый
啰	многословный, нудный
啸	реветь, свистеть; выть
喇	рупор, труба (в 喇叭)
喉	горло, гортань
喧	шумный, галдящий
喻	уподоблять, сравнивать; метафора; понимать
嗓	горло; голос
嗜	пристраститься, иметь склонность
嗦	сосать; в 哆嗦 — дрожать
嗽	кашлять (в 咳嗽)
嘀	шептать, бормотать
嘈	шумный, галдёж
嘉	прекрасный, отрадный; хвалить
噩	зловещий, дурной
噪	шуметь, галдеть; шум
嚏	чихать (в 打喷嚏)
嚣	шуметь, наглеть; шум
囊	мешок, сумка; капсула
囚	заключённый, узник; заточать
囱	дымоход, труба
圾	мусор (в 垃圾)
址	место, площадка; адрес
坊	квартал, слобода; мастерская
坎	яма, рытвина; невзгода
坪	ровная площадка, лужайка
坷	неровный, ухабистый (в 坎坷)
垃	мусор, отбросы (в 垃圾)
垄	межа, гряда; монополия (в 垄断)
