访	навещать, посещать; расспрашивать, брать интервью
诈	обманывать, мошенничать; коварный
诉	сообщать, рассказывать; жаловаться, подавать в суд
诚	искренний, честный; в самом деле
话	речь, слова; язык, говор
诞	рождаться, появляться на свет; нелепый
诠	толковать, разъяснять
语	язык, речь; слова, выражение
诱	заманивать, соблазнять; направлять
谅	прощать, извинять; полагать
谋	замышлять, планировать; замысел, стратегия
谎	лгать; ложь, враньё
谓	называть, говорить; значение, смысл
谷	долина, ущелье; злаки, зерно
豆	бобы, фасоль, горох
象	слон; образ, облик; явление
豪	отважный, доблестный; богач, влиятельное лицо
貌	внешность, облик, вид
贝	раковина; деньги (в древности)
贡	дань; вносить вклад
财	богатство, имущество, состояние
贤	мудрый, достойный; добродетельный человек
质	качество, свойство; вещество; сущность
贫	бедный, нищий; скудный
贬	снижать, обесценивать; порицать; понижать в должности
贯	пронизывать, проходить насквозь; связка монет
贸	торговля, коммерция
赁	арендовать, брать внаём
赃	краденое, добыча; взятка
资	средства, капитал; ресурсы, материалы; квалификация
赋	наделять, даровать; налог; ода
赞	хвалить, одобрять; поддерживать
赤	красный, алый; голый, обнажённый; дефицит
趋	устремляться, склоняться к; тенденция
躁	вспыльчивый, раздражительный; суетливый
轨	колея, рельсы; путь, орбита
载	zài=везти, перевозить; нагружать|zǎi=записывать, регистрировать; год
辅	помогать, содействовать; вспомогательный
辉	сияние, блеск; сиять
辐	спица; излучение (в 辐射)
辑	собирать, компилировать; редактировать
辖	ведать, иметь в подчинении; чека (оси)
辛	горький, острый; тяжкий, изнурительный
辟	открывать, осваивать (землю); опровергать
辨	различать, распознавать
辰	время, час; утро; пятый циклический знак
辱	позор, унижение; оскорблять
达	достигать, доходить; выражать; понимающий
迫	принуждать, вынуждать; неотложный, настоятельный
述	излагать, описывать, рассказывать
迹	след, отпечаток; остатки, памятник
适	подходить, соответствовать; удобный
逐	преследовать, гнать; изгонять; постепенно
途	путь, дорога; маршрут
逝	уходить, утекать; скончаться
逻	патрулировать, обходить дозором; логика (в 逻辑)
遏	сдерживать, обуздывать, пресекать
遗	терять, оставлять; наследие, посмертный
遵	соблюдать, следовать (правилам)
邮	почта, почтовый; отправлять по почте
郁	подавленный, тоскливый; густой, насыщенный
郊	пригород, окраина; загородная местность
鄙	презирать, пренебрегать; низкий, пошлый
酬	вознаграждение, оплата; отвечать, воздавать; общение
释	объяснять, толковать; отпускать, освобождать
金	золото; металл; деньги, сумма
鉴	зеркало; отражать; изучать, оценивать; извлекать урок
钮	кнопка, пуговица; ручка
链	цепь, цепочка; звено
锋	остриё, лезвие; авангард, передовой
阐	разъяснять, излагать, раскрывать
阳	солнце, солнечный; ян (мужское начало); открытый
阶	ступень, лестница; ранг, этап
阻	мешать, преграждать; препятствие
际	граница, рубеж; момент, время; отношения
陆	суша, материк; шесть (в документах)
陈	излагать, выставлять; старый, залежалый
陋	убогий, простой; узкий, ограниченный; безобразный
陶	керамика, гончарные изделия; воспитывать
隆	пышный, процветающий; торжественный; вздыматься
隐	скрывать, прятать; тайный, скрытый
隘	узкий, тесный; горный проход
雄	самец; мужественный, могучий; герой
雅	изящный, утончённый; культурный
革	кожа, шкура; преобразовывать; снимать с должности
鞭	плеть, кнут; подгонять, стимулировать
音	звук, тон; произношение; весть
颁	обнародовать, издавать; вручать (награду)
预	заранее, предварительно; предвидеть
颈	шея, горло; горловина
颜	лицо, выражение лица; цвет (в 颜色)
额	лоб; норма, квота; сумма
颠	вершина, макушка; трясти, подпрыгивать; переворачивать
颤	дрожать, трястись; дрожь
食	пища, еда; есть, питаться
餐	приём пищи, трапеза; есть, обедать
饥	голод, голодать
饪	варить, готовить пищу
饮	пить; напиток
饵	приманка, наживка; лепёшка
饺	пельмени, цзяоцзы
馆	заведение, дом (гостиница, ресторан, музей)
馨	благоухание, аромат; тёплый, душевный
驱	гнать, погонять; изгонять; привод
骚	беспокоить, тревожить; смута, волнения
骨	кость, костяк; каркас, основа
魂	душа, дух
魄	дух, сила духа; телесная душа
魔	дьявол, демон; магия, волшебство
鹤	журавль
麟	цилинь, единорог (мифический зверь)
麦	пшеница, злаки
默	молчаливый, безмолвный; молча
