盈	наполняться, быть полным; излишек, прибыль
益	польза, выгода; полезный; тем более
盟	союз, альянс; клятва; вступать в союз
目	глаз; смотреть; пункт, раздел; цель
盲	слепой; слепо, вслепую
相	xiāng=взаимно, друг друга|xiàng=облик, вид; фотографировать
眉	бровь; верхнее поле (страницы)
眶	глазница, глазная впадина
睛	зрачок, глазное яблоко
石	камень, скала; минерал
研	растирать, шлифовать; исследовать, изучать
础	фундамент, основание, база
确	достоверный, точный; действительно; твёрдо
碍	мешать, препятствовать; помеха
示	показывать, демонстрировать; указывать
礼	этикет, вежливость; обряд, церемония; подарок
祀	приносить жертву, совершать обряд поминовения
祥	счастливый, благоприятный; доброе предзнаменование
禁	jìn=запрещать, запрет|jīn=выдерживать, сдерживаться
禾	злаки, хлеба; всходы
私	личный, частный; тайный; эгоистичный
秋	осень; год
秘	тайна, секрет; таинственный
程	процесс, ход; путь, маршрут; порядок, регламент
稚	юный, незрелый; детский
稼	посевы, хлеба; сеять
稽	проверять, сверять; задерживаться
穴	пещера, нора; впадина; акупунктурная точка
究	доискиваться, исследовать; в конце концов
窃	красть, воровать; тайком
竭	исчерпать, истощить; выкладываться полностью
竹	бамбук
符	соответствовать, совпадать; знак, символ; амулет
笼	lóng=клетка, корзина; пароварка|lǒng=накрывать, окутывать
策	план, стратегия, политика; подгонять (плетью)
简	простой, краткий; упрощать; письмо
箱	ящик, коробка, чемодан
簸	веять (зерно); подбрасывать, трясти
粹	чистый, беспримесный; суть, квинтэссенция
繁	многочисленный, сложный; процветать
纠	исправлять, выправлять; переплетаться, запутываться
纤	тонкий, изящный; волокно
纪	эпоха, эра; век; дисциплина, порядок; записывать
纲	основной принцип, программа; канва, план
纳	принимать, вбирать; вносить (плату)
纵	давать волю, попустительствовать; вертикальный
纷	многочисленный, беспорядочный; один за другим
纹	линия, узор, полоса; морщина
纽	узел; пуговица; ключевое звено
终	конец, окончание; в конце концов; весь (день, год)
绎	разматывать (нить); толковать, выводить
络	сеть, сплетение; опутывать; связываться
绩	результат, достижение; заслуги
维	поддерживать, сохранять; измерение (в 二维)
绸	шёлк, шёлковая ткань
绽	лопаться, расходиться (по швам); распускаться (о цветах)
绿	зелёный; зелень
缘	причина, повод; судьба, предопределённость; край, кромка
罕	редкий, редко встречающийся
罢	прекращать, заканчивать; отстранять от должности
署	управление, ведомство; подписывать; распределять
羽	перо, оперение; крыло
翼	крыло; фланг; прикрывать
耀	сиять, блистать; слава, блеск
耘	полоть, пропалывать
耳	ухо; ручка (сосуда)
耻	стыд, позор; стыдиться
耽	задерживать, откладывать; предаваться
聆	слушать, внимать
联	соединять, связывать; союз, объединение
肆	давать волю, бесчинствовать; лавка; четыре (в документах)
肩	плечо; брать на себя, нести
育	растить, воспитывать; рождать; образование
胆	жёлчный пузырь; смелость, отвага
胚	зародыш, эмбрион; заготовка
胡	безрассудно, наобум; борода, усы; иноземный
脉	пульс; артерия, вена; жила, прожилка
脑	мозг; голова, ум
腐	гнить, портиться; гнилой; тофу (в 豆腐)
腻	жирный, приторный; надоесть, приесться; тонкий, гладкий
膀	плечо, предплечье; крыло
膏	жир, сало; мазь, паста
膨	вздуваться, расширяться; набухать
臣	сановник, министр; подданный
舆	повозка; общественный (в 舆论 — общественное мнение)
舌	язык (орган); язычок (колокола)
舍	shè=помещение, общежитие|shě=бросать, отказываться; жалеть
般	вид, род, сорт; такой, подобный
艰	трудный, тяжёлый; лишения
色	цвет, окраска; вид, выражение лица
艺	искусство, ремесло; умение, талант
艾	полынь; в транскрипциях (например, 艾滋病)
苏	приходить в себя, оживать; в транскрипциях
英	лепесток, цветок; храбрый, выдающийся; английский
范	образец, норма; рамки, сфера
茫	необъятный, безбрежный; смутный, растерянный
荡	колыхаться, качаться; смывать, сметать; водоём
荣	слава, честь; процветать, цвести
莫	не, нельзя; никто; нет ничего
获	получать, добывать; собирать урожай
莹	прозрачный, блестящий; яшма
萌	росток, почка; давать всходы, зарождаться
萍	ряска; скитаться, странствовать
萝	редька, репа (в 萝卜)
营	лагерь, батальон; вести дело, управлять
董	руководить, ведать; директор (в 董事)
蓬	растрёпанный, всклокоченный; буйно расти
蔑	презирать, ни во что не ставить; клеветать
蔓	màn=расползаться, распространяться|wàn=плеть, стебель вьющегося растения
蕉	банан
蕴	накапливать, содержать в себе; глубина, подоплёка
薪	дрова, топливо; жалованье, зарплата
藤	лиана, вьющееся растение; ротанг
虎	тигр; свирепый, отважный
虑	тревожиться, обдумывать; забота, опасение
虫	насекомое, червь
蛙	лягушка
螺	раковина, улитка; спираль, винт
衍	распространяться, размножаться; излишний
衔	звание, титул; держать во рту; смыкаться
衷	от души, искренне; сокровенное
袭	нападать, совершать налёт; наследовать, перенимать
褒	хвалить, поощрять; воздавать должное
观	смотреть, наблюдать; вид, зрелище; взгляд, воззрение
规	правило, норма, устав; циркуль
视	смотреть, глядеть; рассматривать как; зрение
觉	jué=чувствовать, осознавать|jiào=сон, спать
触	касаться, соприкасаться; задевать; бодать
言	слово, речь; говорить
讯	весть, сообщение; допрашивать
讳	табу, запретное имя; избегать упоминать
讶	удивляться, изумляться
讹	ошибка, искажение; вымогать обманом
论	обсуждать, рассуждать; теория, суждение
讼	тяжба, судиться; спорить
