蒂	плодоножка, черенок; корень (в 根深蒂固)
蓄	накапливать, копить; сдерживать
蔚	пышный, богатый; лазурный (в 蔚蓝)
蔬	овощи, зелень
蔼	приветливый, добродушный
蔽	прикрывать, заслонять; скрывать
蕾	бутон; в транскрипциях (балет — 芭蕾)
薯	батат, картофель, клубень
藐	презирать, пренебрегать
藻	водоросли; узорчатый слог
蘑	гриб (в 蘑菇)
虏	пленный; брать в плен
虐	жестокий, истязать
虔	благоговейный, набожный
虹	радуга
蚀	разъедать, разрушать; затмение
蚁	муравей
蚂	муравей (в 蚂蚁); пиявка
蚊	комар
蛀	точить, изъедать; кариес (в 蛀牙)
蛋	яйцо
蛮	варварский, грубый; весьма
蜂	пчела, оса
蜜	мёд; сладкий
蝇	муха
蝴	бабочка (в 蝴蝶)
蝶	бабочка
螃	краб (в 螃蟹)
蟹	краб
衅	раздор, ссора; провокация
衡	взвешивать, измерять; равновесие
衣	одежда, платье
衫	рубашка, кофта
衬	подкладка, нижнее бельё; оттенять
衰	слабеть, приходить в упадок; дряхлеть
袋	мешок, сумка; карман
袍	халат, длинное платье
袖	рукав
袜	носки, чулки
袱	узелок, свёрток (в 包袱)
裔	потомки, поколения
裕	достаток, изобилие; зажиточный
裙	юбка
裤	брюки, штаны
裳	платье, одеяние
覆	покрывать; опрокидывать; повторно
觅	искать, разыскивать
览	осматривать, просматривать
誉	слава, репутация; хвалить
誓	клясться; клятва
警	охранять, предупреждать; полиция; тревога
譬	например, к примеру; уподоблять
讥	насмехаться, язвить
讽	высмеивать, иронизировать
诀	секрет, приём; расставаться
诊	осматривать больного, ставить диагноз
诡	хитрый, коварный; странный
询	спрашивать, справляться
详	подробный, обстоятельный
诧	изумляться, поражаться
诫	предостерегать, наставлять
诬	клеветать, оговаривать
诵	декламировать, читать вслух
诸	все, многие; разные
诺	обещать, соглашаться; обещание
诽	клеветать, злословить
谊	дружба; уместный
谍	шпион, разведданные
谐	согласный, гармоничный; шутить
谢	благодарить; вежливо отказывать; увядать
谣	слух, молва; народная песня
谤	клеветать, порочить
谦	скромный, сдержанный
谨	осмотрительный, тщательный
谬	ошибочный, нелепый
谴	порицать, осуждать
豚	поросёнок; дельфин (в 海豚)
豫	колебаться; спокойный
贞	верный, целомудренный
责	ответственность, долг; винить
账	счёт, отчётность; долг
贩	торговец; сбывать, торговать
购	покупать, закупать
贮	хранить, запасать
贷	давать взаймы, кредит; прощать
贺	поздравлять; поздравление
贾	купец; торговать
贿	взятка; подкупать
赂	взятка; подкупать
赘	лишний, обременительный
赡	содержать, обеспечивать
赫	блистательный, внушительный
趣	интерес, увлекательность
跃	прыгать, скакать; всплеск
跤	падение, кувырок; борьба (в 摔跤)
践	топтать; осуществлять на деле
跷	приподнимать, вставать на цыпочки; ходули
踊	прыгать, подниматься (в 踊跃)
踪	след, следы
蹈	топать, плясать
蹊	тропа; в 蹊跷 — странный
蹋	наступать, топтать
躬	кланяться; лично, самолично
躯	тело, туловище
轴	ось, вал; стержень
轿	паланкин; легковой автомобиль (в 轿车)
辈	поколение; ровесники
辕	оглобля, дышло
辗	ворочаться, катать (в 辗转)
辙	колея, след колеса; выход, способ
辜	вина, провинность; обмануть (доверие)
辫	коса, косичка
辽	далёкий, обширный
迄	вплоть до, до сих пор
迅	быстрый, стремительный
返	возвращаться, обратно
违	нарушать, идти вопреки
迪	просвещать, наставлять
迭	неоднократно, чередоваться
迸	брызгать, вырываться
逊	скромный; уступать
逞	давать волю, кичиться
速	скорость; быстрый
逸	праздный, беззаботный; ускользать
逾	превышать, переступать
遇	встречать, сталкиваться; обращение, условия
遣	посылать, направлять; развеивать (скуку)
遥	далёкий, отдалённый
遭	подвергаться, натолкнуться на
邃	глубокий, сокровенный
邻	сосед; соседний
郎	молодой человек; жених, муж
郑	серьёзный, обстоятельный (в 郑重); фамилия
酌	наливать вино; взвешивать, обдумывать
酗	пьянствовать, буянить во хмелю
酝	бродить, вызревать (в 酝酿)
酣	упиваться, вволю; крепко (спать)
酪	сыр, творог; кумыс
酵	дрожжи, брожение
酿	варить, ферментировать; влечь за собой
